20:43:56.911  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
09:23:07.181  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
09:23:07.203  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
09:23:07.211  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
09:23:07.223  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
09:23:07.234  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
09:23:07.247  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
09:24:11.522  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
09:24:11.724  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
09:24:11.822  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
09:24:11.890  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
09:24:11.952  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
09:24:11.963  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
09:36:32.492  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
09:36:32.620  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
09:36:32.630  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
09:36:32.641  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
09:36:32.651  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
09:36:32.661  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
09:37:11.525  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
09:37:11.551  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
09:37:11.561  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
09:37:11.571  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
09:37:11.581  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
09:37:11.590  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
09:38:12.498  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
09:38:12.697  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
09:38:12.765  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
09:38:12.782  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
09:38:12.830  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
09:38:12.880  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
09:50:41.408  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
09:50:41.449  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
09:50:41.465  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
09:50:41.523  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
09:50:41.539  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
09:50:41.558  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
10:18:37.573  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
10:18:37.688  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
10:18:37.770  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
10:18:37.799  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
10:18:37.878  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
10:18:37.997  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
10:19:28.548  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
10:19:28.571  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
10:19:28.587  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
10:19:28.604  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
10:19:28.618  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
10:19:28.631  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
10:24:24.261  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
10:24:24.274  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
10:24:24.284  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
10:24:24.295  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
10:24:24.305  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
10:24:24.316  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
10:31:57.087  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
10:31:57.098  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
10:31:57.109  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
10:31:57.118  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
10:31:57.129  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
10:31:57.139  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
10:32:37.345  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
10:32:37.360  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
10:32:37.376  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
10:32:37.392  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
10:32:37.449  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
10:32:37.464  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
10:47:59.759  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
10:47:59.814  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
10:47:59.903  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
10:47:59.947  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
10:48:00.060  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
10:48:00.174  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
10:53:23.679  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
10:53:23.708  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
10:53:23.717  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
10:53:23.725  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
10:53:23.734  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
10:53:23.742  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
10:56:07.087  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
10:56:07.134  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
10:56:07.191  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
10:56:07.231  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
10:56:07.269  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
10:56:07.355  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
10:56:42.418  [REMOVED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
10:57:02.435  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:15:19.229  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:15:19.241  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:15:19.251  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:15:19.261  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:15:19.271  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:15:19.281  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:16:13.617  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:16:13.640  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:16:13.654  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:16:13.670  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:16:13.722  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:16:13.737  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:18:27.189  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:18:27.208  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:18:27.234  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:18:27.255  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:18:27.321  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:18:27.357  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:20:41.833  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:20:41.862  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:20:41.896  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:20:42.050  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:20:42.076  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:20:42.148  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:22:04.134  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:22:04.146  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:22:04.157  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:22:04.168  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:22:04.179  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:22:04.190  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:22:30.246  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:22:30.279  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:22:30.296  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:22:30.314  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:22:30.395  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:22:30.432  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:23:05.214  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:23:05.232  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:23:05.273  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:23:05.340  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:23:05.380  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:23:05.411  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:23:31.006  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:23:31.020  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:23:31.032  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:23:31.139  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:23:31.151  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:23:31.163  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:36:20.269  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:36:20.282  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:36:20.293  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:36:20.303  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:36:20.314  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:36:20.324  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:44:03.073  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:44:03.094  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:44:03.116  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:44:03.131  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:44:03.216  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:44:03.234  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:44:57.666  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:44:57.680  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:44:57.690  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:44:57.700  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:44:57.711  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:44:57.721  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:45:43.157  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:45:43.176  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:45:43.196  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:45:43.211  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:45:43.254  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:45:43.279  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:46:11.584  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:46:11.599  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:46:11.611  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:46:11.623  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:46:11.633  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:46:11.644  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:46:43.713  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:46:43.726  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:46:43.781  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:46:43.792  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:46:43.895  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:46:43.905  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:47:13.870  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:47:13.883  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:47:13.893  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:47:14.003  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:47:14.013  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:47:14.023  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:48:14.696  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:48:14.710  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:48:14.728  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:48:14.764  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:48:14.837  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:48:14.868  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:50:12.785  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:50:12.802  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:50:12.818  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:50:12.829  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:50:12.849  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:50:12.867  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:55:00.476  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:57:25.733  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:57:25.746  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:57:25.756  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:57:25.767  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:57:25.871  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:57:25.881  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
11:59:32.810  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
11:59:32.829  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
11:59:32.854  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
11:59:32.869  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
11:59:32.916  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
11:59:32.947  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
12:09:14.837  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
12:09:14.865  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
12:09:14.883  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
12:09:14.931  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
12:09:14.952  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
12:09:14.973  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
12:10:10.260  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
12:10:10.292  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
12:10:10.321  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
12:10:10.344  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
12:10:10.391  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
12:10:10.474  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
12:10:39.443  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
12:10:39.459  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
12:10:39.480  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
12:10:39.545  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
12:10:39.580  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
12:10:39.602  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
13:09:24.565  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
13:10:34.604  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
13:10:34.623  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
13:18:14.919  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
13:18:14.936  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
13:21:58.661  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
13:21:58.780  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
13:21:58.811  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
13:21:58.972  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
13:21:59.003  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
13:21:59.068  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
13:37:06.399  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
13:37:06.432  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
13:37:06.492  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
13:37:06.545  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
13:37:06.573  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
13:37:06.616  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
13:40:17.943  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
13:40:17.974  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
13:40:18.036  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
13:40:18.060  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
13:40:18.099  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
13:40:18.139  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
13:43:01.987  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
13:43:02.173  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
13:43:02.192  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
13:43:02.245  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
13:43:02.294  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
13:43:02.356  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
14:10:21.325  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
14:10:21.369  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
14:10:21.443  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
14:10:21.525  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
14:10:21.580  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
14:10:21.658  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
14:24:09.069  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
14:24:09.178  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
14:24:09.321  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
14:24:09.418  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
14:24:09.467  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
14:24:09.538  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
14:28:36.880  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
14:28:36.915  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
14:28:37.028  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
14:28:37.054  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
14:28:37.132  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
14:28:37.175  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
14:30:02.209  [REMOVED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
14:30:22.239  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
14:33:32.543  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
14:33:32.590  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
14:33:32.702  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
14:33:32.742  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
14:33:32.820  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
14:33:32.885  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
14:56:16.278  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
14:56:16.420  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
14:56:16.465  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
14:56:16.501  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
